city,state,country,lat,lng,elevation_m,elevation_ft
Hastings,,New Zealand,-39.6418,176.8431,17.0,55.8
Nelson,,New Zealand,-41.2711,173.2837,12.0,39.4
Napier,,New Zealand,-39.4902,176.9178,11.0,36.1
Invercargill,,New Zealand,-46.4118,168.3471,11.0,36.1
Upper Hutt,,New Zealand,-41.1241,175.07,67.0,219.8
Whangārei,,New Zealand,-35.7275,174.3194,8.0,26.2
Gisborne,,New Zealand,-38.6613,178.0206,11.0,36.1
New Plymouth,,New Zealand,-39.058,174.0806,27.0,88.6
Porirua,,New Zealand,-41.1354,174.8398,13.0,42.7
Whanganui,,New Zealand,-39.9325,175.0519,15.0,49.2
Ashburton,,New Zealand,-43.9024,171.7503,103.0,337.9
Timaru,,New Zealand,-44.393,171.251,14.0,45.9
Blenheim,,New Zealand,-41.5119,173.9546,11.0,36.1
Paraparaumu,,New Zealand,-40.9145,175.0062,11.0,36.1
