state,state_code,city,latitude,longitude
Michigan,MI,Lansing,42.7338254,-84.5546295
Nebraska,NE,Norfolk,42.0283379,-97.4169964
New Mexico,NM,Farmington,36.7291152,-108.205445
Minnesota,MN,Lakeville,44.650051,-93.2432791
Michigan,MI,Westland,42.3238056,-83.4005321
California,CA,Santa Ana,33.7494951,-117.873221
Delaware,DE,Milton,38.7778049,-75.3101583
Wisconsin,WI,Brookfield,43.0615578,-88.1260678
Maine,ME,Sanford,43.4387179,-70.7746224
Oregon,OR,Keizer,44.9969,-123.0266267
Pennsylvania,PA,Erie,42.1294712,-80.0852695
New Mexico,NM,Roswell,33.3943282,-104.5229518
Missouri,MO,Springfield,37.2081729,-93.2922715
California,CA,San Francisco,37.7792588,-122.4193286
Tennessee,TN,Johnson City,36.3134398,-82.3534728
Virginia,VA,Danville,36.5879877,-79.3916713
New Mexico,NM,Alamogordo,32.8998822,-105.9602081
Idaho,ID,Jerome,42.702266,-114.286704
Mississippi,MS,Horn Lake,34.9553719,-90.0348139
Rhode Island,RI,Warwick,41.6992717,-71.4586114
Maryland,MD,Hagerstown,39.6430455,-77.7191081
Montana,MT,Helena,46.5927425,-112.036277
Virginia,VA,Harrisonburg,38.4493315,-78.8688833
Missouri,MO,St. Charles,38.7877791,-90.6747372
Rhode Island,RI,Portsmouth,41.6024068,-71.2503157
Minnesota,MN,Eden Prairie,44.8546856,-93.470786
Colorado,CO,Arvada,39.8005505,-105.0811573
Louisiana,LA,Slidell,30.2751945,-89.7811745
North Carolina,NC,Cary,35.7882893,-78.7812081
Louisiana,LA,Sulphur,30.2365943,-93.3773783
Connecticut,CT,New Britain,41.6612104,-72.7795419
Wyoming,WY,Powell,44.752873,-108.75902
Iowa,IA,Des Moines,41.5868654,-93.6249494
Tennessee,TN,Knoxville,35.9603948,-83.9210261
Maine,ME,Windham,43.7894155,-70.4083434
Wyoming,WY,Riverton,43.0247245,-108.380727
Nevada,NV,Boulder City,35.9776606,-114.8377351
North Dakota,ND,Stanley,48.317241,-102.390452
Ohio,OH,Newark,40.0581205,-82.4012643
Maryland,MD,Rockville,39.0817985,-77.1516844
Nevada,NV,Caliente,37.6149601,-114.5105439
West Virginia,WV,Martinsburg,39.4562528,-77.9639604
South Dakota,SD,Sturgis,44.414477,-103.509139
Nebraska,NE,Blair,41.5438035,-96.1360014
Arkansas,AR,Russellville,35.2784173,-93.1337856
Iowa,IA,Waterloo,42.498275,-92.3328743
Kansas,KS,Emporia,38.4040054,-96.181623
South Dakota,SD,Pierre,44.3683644,-100.351136
California,CA,Stockton,37.9577016,-121.290779
Illinois,IL,Palatine,42.1105502,-88.0434304
Arkansas,AR,Jonesboro,35.8348088,-90.7045297
Washington,WA,Vancouver,45.6306954,-122.6744557
Idaho,ID,Rexburg,43.8235163,-111.787022
Wyoming,WY,Jackson,43.479965,-110.761815
Utah,UT,St. George,37.104153,-113.584131
Wisconsin,WI,Sheboygan,43.7128967,-87.9370433
Rhode Island,RI,Narragansett,41.4501021,-71.4495005
West Virginia,WV,Parkersburg,39.2667309,-81.5620755
Kansas,KS,Leawood,38.966673,-94.6169012
Pennsylvania,PA,Allentown,40.6022059,-75.4712794
Ohio,OH,Dayton,39.7589478,-84.1916069
Louisiana,LA,Hammond,30.5043583,-90.4611995
Ohio,OH,Akron,41.083064,-81.518485
North Carolina,NC,Concord,35.4094178,-80.5800049
Kentucky,KY,Elizabethtown,37.693952,-85.8591285
Maryland,MD,Greenbelt,39.004607,-76.8756838
Oregon,OR,Medford,42.3264181,-122.8718605
Indiana,IN,Noblesville,40.0455918,-86.0085955
West Virginia,WV,Huntington,38.4192496,-82.445154
North Carolina,NC,High Point,35.9556924,-80.0053176
Kansas,KS,Wichita,37.6922361,-97.3375448
California,CA,Los Angeles,34.0536909,-118.242766
Nevada,NV,Mesquite,36.8035642,-114.067141
Minnesota,MN,Minneapolis,44.9772995,-93.2654692
Texas,TX,Amarillo,35.20729,-101.8371192
Delaware,DE,Ocean View,38.5476327,-75.0881312
New Mexico,NM,Las Cruces,32.3140354,-106.779807
Oregon,OR,Springfield,44.0462362,-123.0220289
Kansas,KS,Overland Park,38.9742502,-94.6851702
Oregon,OR,Oregon City,45.3573429,-122.606758
Vermont,VT,St. Johnsbury,44.419494,-72.0156532
South Dakota,SD,Brookings,44.311461,-96.79844
Connecticut,CT,Hamden,41.3836233,-72.9020069
Mississippi,MS,Southaven,34.9873822,-90.0034862
Tennessee,TN,Lebanon,36.2079779,-86.2910945
Kentucky,KY,Winchester,37.990079,-84.1796503
New York,NY,Long Beach,40.5885508,-73.6582631
Mississippi,MS,Jackson,32.2998686,-90.1830408
Hawaii,HI,Halawa,21.377454,-157.9169941
Massachusetts,MA,Worcester,42.2625621,-71.8018877
Oklahoma,OK,Ponca City,36.703647,-97.081898
Pennsylvania,PA,Easton,40.6916081,-75.2099866
Washington,WA,Bellevue,47.6144219,-122.192337
Wyoming,WY,Buffalo,44.3480865,-106.699287
Delaware,DE,Delaware City,39.5778901,-75.588815
Montana,MT,Kalispell,48.202158,-114.315321
Maine,ME,Auburn,44.0965374,-70.2249487
Hawaii,HI,Kailua,19.641941,-155.996933
South Dakota,SD,Lead,44.352207,-103.765198
Tennessee,TN,Bartlett,35.2045329,-89.8739753
New Hampshire,NH,Rochester,43.3050758,-70.9753978
Georgia,GA,Johns Creek,34.0181557,-84.190196
Maine,ME,Saco,43.5007555,-70.4429451
Pennsylvania,PA,Hazleton,40.9548956,-75.9769572
Louisiana,LA,Alexandria,31.3119463,-92.4453558
California,CA,Moreno Valley,33.9375177,-117.2305791
Arizona,AZ,Surprise,33.629247,-112.3681428
Iowa,IA,Cedar Rapids,41.9758872,-91.6704053
Rhode Island,RI,North Kingstown,41.5514283,-71.4693875
Vermont,VT,Bennington,42.8788667,-73.1968205
North Carolina,NC,Asheville,35.595363,-82.5508407
Georgia,GA,Athens,33.9597677,-83.376398
Oklahoma,OK,Stillwater,36.1156306,-97.0585717
Minnesota,MN,Edina,44.8897027,-93.3501222
California,CA,Sacramento,38.5810606,-121.493895
Florida,FL,Miami,25.7741728,-80.19362
Oklahoma,OK,Lawton,34.6086854,-98.3903305
South Carolina,SC,Sumter,33.9204354,-80.3414693
Oregon,OR,Albany,44.6365071,-123.1059324
Ohio,OH,Elyria,41.3673191,-82.1073583
Rhode Island,RI,South Kingstown,41.454944,-71.5394738
South Carolina,SC,Greenville,34.851354,-82.3984882
Michigan,MI,Ann Arbor,42.2813722,-83.7484616
North Dakota,ND,Devils Lake,48.112779,-98.86512
South Dakota,SD,Mobridge,45.537216,-100.427913
Arkansas,AR,Bentonville,36.3728608,-94.208787
Oregon,OR,Lake Oswego,45.4206749,-122.670649
Maryland,MD,Gaithersburg,39.1399187,-77.1929215
Wisconsin,WI,Fond du Lac,43.7533414,-88.4493796
Maryland,MD,Frederick,39.415779,-77.4127562
Virginia,VA,Newport News,36.9775016,-76.42977
Nevada,NV,Carson City,39.1663259,-119.7670374
Wyoming,WY,Lander,42.8330755,-108.730702
Wyoming,WY,Torrington,42.062465,-104.184394
South Dakota,SD,Watertown,44.899211,-97.115289
Washington,WA,Spokane Valley,47.6571104,-117.2613936
Arizona,AZ,Flagstaff,35.1987522,-111.651822
Arizona,AZ,Avondale,33.4355977,-112.349602
