city,country,lat,lng,elevation_m,elevation_ft
Porthcawl,Wales,51.4796,-3.7041,12.0,39.4
Barry,Wales,51.4065,-3.2667,38.0,124.7
Penarth,Wales,51.4357,-3.1751,46.0,150.9
Berwick-upon-Tweed,England,55.7692,-2.0026,23.0,75.5
Seahouses,England,55.5817,-1.6537,12.0,39.4
Amble,England,55.3338,-1.5839,3.0,9.8
Blyth,England,55.1271,-1.51,4.0,13.1
Seaton Sluice,England,55.084,-1.4732,5.0,16.4
Whitley Bay,England,55.0422,-1.4454,26.0,85.3
Tynemouth,England,55.0178,-1.4256,36.0,118.1
Sunderland,England,54.9059,-1.3829,36.0,118.1
Seaham,England,54.8372,-1.3356,32.0,105.0
Hartlepool,England,54.6857,-1.2094,10.0,32.8
Saltburn-by-the-Sea,England,54.5847,-0.9741,46.0,150.9
Redcar,England,54.6179,-1.0688,10.0,32.8
Staithes,England,54.5592,-0.7923,12.0,39.4
Whitby,England,54.4867,-0.6135,5.0,16.4
Robin Hood’s Bay,England,54.4332,-0.5345,30.0,98.4
Scarborough,England,54.282,-0.4012,44.0,144.4
Filey,England,54.2097,-0.2888,35.0,114.8
Bridlington,England,54.0822,-0.1909,13.0,42.7
Withernsea,England,53.731,0.0272,8.0,26.2
Cleethorpes,England,53.5572,-0.029,12.0,39.4
Skegness,England,53.1438,0.3429,6.0,19.7
Mablethorpe,England,53.3408,0.2607,2.0,6.6
Chapel St Leonards,England,53.2286,0.331,2.0,6.6
Hunstanton,England,52.9394,0.4902,29.0,95.1
Wells-next-the-Sea,England,52.955,0.8515,13.0,42.7
Sheringham,England,52.9439,1.2126,11.0,36.1
Cromer,England,52.9311,1.3013,25.0,82.0
Mundesley,England,52.8803,1.4262,39.0,128.0
Great Yarmouth,England,52.6072,1.7315,6.0,19.7
Lowestoft,England,52.4766,1.7538,9.0,29.5
Southwold,England,52.3261,1.6793,13.0,42.7
Aldeburgh,England,52.1524,1.6016,11.0,36.1
Felixstowe,England,51.9643,1.329,19.0,62.3
Clacton-on-Sea,England,51.7884,1.1528,21.0,68.9
Walton-on-the-Naze,England,51.8484,1.2726,5.0,16.4
Frinton-on-Sea,England,51.8293,1.2462,21.0,68.9
Deal,England,51.224,1.4027,7.0,23.0
Hythe,England,51.0692,1.084,4.0,13.1
Dymchurch,England,51.0263,0.9937,2.0,6.6
Rye,England,50.9512,0.7328,13.0,42.7
Pevensey Bay,England,50.8177,0.3432,2.0,6.6
Seaford,England,50.7783,0.1107,15.0,49.2
Shoreham-by-Sea,England,50.8322,-0.2747,6.0,19.7
Selsey,England,50.7328,-0.7923,7.0,23.0
Bracklesham Bay,England,50.7531,-0.8772,0.0,0.0
Hayling Island,England,50.8056,-0.9801,4.0,13.1
Lee-on-the-Solent,England,50.8029,-1.2013,9.0,29.5
Milford on Sea,England,50.7252,-1.5849,7.0,23.0
Charmouth,England,50.738,-2.9066,65.0,213.3
Budleigh Salterton,England,50.6311,-3.33,17.0,55.8
