city,country,month,month_num,temperature_2m_mean,windspeed_10m_mean,precipitation_sum,relative_humidity_2m_mean,cloudcover_mean
Donegal,Ireland,May,5,55.14,13.16,1.91,81.76,77.3
Donegal,Ireland,June,6,54.42,16.17,2.38,79.48,83.2
Donegal,Ireland,July,7,57.42,13.39,3.21,81.93,85.21
Donegal,Ireland,August,8,58.02,17.89,5.86,82.43,78.53
Donegal,Ireland,September,9,54.62,14.0,1.6,82.51,69.67
Donegal,Ireland,October,10,52.11,15.26,2.88,85.04,75.9
Donegal,Ireland,November,11,47.3,14.65,3.02,88.17,84.75
Donegal,Ireland,December,12,45.65,19.1,3.41,85.97,83.88
Bundoran,Ireland,January,1,41.92,20.96,3.96,83.85,74.52
Bundoran,Ireland,February,2,45.51,19.34,2.74,84.33,82.75
Bundoran,Ireland,March,3,45.09,19.85,3.21,83.38,82.39
Bundoran,Ireland,April,4,48.25,20.08,2.46,79.54,74.01
Bundoran,Ireland,May,5,55.11,15.6,1.91,81.56,77.89
Bundoran,Ireland,June,6,54.52,19.63,2.32,79.27,83.59
Bundoran,Ireland,July,7,57.45,16.07,3.54,81.87,86.26
Bundoran,Ireland,August,8,58.2,20.44,5.74,81.87,78.98
Bundoran,Ireland,September,9,55.09,16.4,1.54,81.67,70.53
Bundoran,Ireland,October,10,52.62,17.24,2.81,83.81,77.47
Bundoran,Ireland,November,11,47.75,16.95,3.14,87.7,86.49
Bundoran,Ireland,December,12,46.25,22.7,3.3,84.39,83.6
Rosslare,Ireland,January,1,42.58,15.94,0.28,81.85,65.25
Rosslare,Ireland,February,2,46.77,15.62,1.45,88.59,76.53
Rosslare,Ireland,March,3,47.14,18.45,1.07,85.21,76.37
Rosslare,Ireland,April,4,49.76,17.7,0.88,83.4,74.0
Rosslare,Ireland,May,5,54.95,12.8,0.89,85.86,74.43
Rosslare,Ireland,June,6,56.15,13.02,0.03,80.38,72.61
Rosslare,Ireland,July,7,58.52,12.57,0.29,83.96,74.27
Rosslare,Ireland,August,8,60.44,16.24,0.75,83.25,66.33
Rosslare,Ireland,September,9,56.03,13.77,0.13,83.62,66.89
Rosslare,Ireland,October,10,54.44,15.13,0.41,84.57,72.44
Rosslare,Ireland,November,11,50.88,14.57,3.11,85.58,78.69
Rosslare,Ireland,December,12,47.58,17.59,0.26,86.22,76.36
Wexford,Ireland,January,1,42.41,15.93,0.28,82.91,65.26
Wexford,Ireland,February,2,46.5,15.61,1.45,89.71,76.59
Wexford,Ireland,March,3,46.89,18.44,1.07,86.21,76.39
Wexford,Ireland,April,4,49.2,17.69,0.88,83.59,74.02
Wexford,Ireland,May,5,54.66,12.8,0.89,85.03,74.48
Wexford,Ireland,June,6,55.84,13.02,0.03,79.76,72.64
Wexford,Ireland,July,7,58.18,12.55,0.29,84.34,74.3
Wexford,Ireland,August,8,59.95,16.23,0.75,83.98,66.35
Wexford,Ireland,September,9,56.03,13.76,0.13,83.61,66.92
Wexford,Ireland,October,10,53.7,15.12,0.41,85.52,72.41
Wexford,Ireland,November,11,50.29,14.57,3.11,87.05,78.75
Wexford,Ireland,December,12,46.98,17.59,0.26,87.01,76.41
Dublin,Ireland,January,1,40.99,18.24,1.75,83.23,66.52
Dublin,Ireland,February,2,45.36,17.16,2.09,85.91,77.11
Dublin,Ireland,March,3,45.59,18.78,3.55,83.22,76.83
Dublin,Ireland,April,4,47.91,18.18,2.07,80.36,71.29
Dublin,Ireland,May,5,55.5,13.72,1.12,80.02,78.08
Dublin,Ireland,June,6,55.82,15.45,0.84,75.67,74.18
Dublin,Ireland,July,7,58.7,14.48,1.14,79.26,77.59
Dublin,Ireland,August,8,60.07,17.94,1.02,76.0,69.36
Dublin,Ireland,September,9,54.49,15.74,1.7,83.83,71.25
Dublin,Ireland,October,10,52.51,16.24,1.54,82.79,70.07
Dublin,Ireland,November,11,46.82,14.55,1.71,88.8,74.98
Dublin,Ireland,December,12,45.25,18.85,1.41,85.99,74.61
Howth,Ireland,January,1,41.5,18.2,1.84,82.2,66.6
Howth,Ireland,February,2,45.63,17.03,2.2,85.3,77.05
Howth,Ireland,March,3,45.78,18.84,3.68,82.84,76.61
Howth,Ireland,April,4,48.09,18.34,2.12,80.09,71.17
Howth,Ireland,May,5,55.44,13.96,1.14,80.42,78.01
Howth,Ireland,June,6,55.87,15.63,0.88,75.64,73.92
Howth,Ireland,July,7,58.73,14.65,1.15,79.31,77.48
Howth,Ireland,August,8,60.13,17.75,1.07,76.0,69.36
Howth,Ireland,September,9,54.48,16.07,1.79,83.82,70.91
Howth,Ireland,October,10,52.8,16.29,1.58,82.3,70.05
Howth,Ireland,November,11,47.26,14.71,1.55,87.68,74.71
Howth,Ireland,December,12,45.63,18.87,1.48,85.23,74.23
Skerries,Ireland,January,1,41.23,18.09,1.87,82.75,66.6
Skerries,Ireland,February,2,45.44,16.92,2.23,85.61,76.96
Skerries,Ireland,March,3,45.68,18.79,3.72,83.11,76.72
Skerries,Ireland,April,4,47.96,18.24,2.2,80.21,71.25
Skerries,Ireland,May,5,55.45,13.87,1.14,80.43,77.97
Skerries,Ireland,June,6,55.82,15.51,0.92,75.64,74.09
Skerries,Ireland,July,7,58.69,14.52,1.21,79.25,77.56
Skerries,Ireland,August,8,60.06,17.64,1.2,76.02,69.49
Skerries,Ireland,September,9,54.45,15.93,1.81,83.84,70.88
Skerries,Ireland,October,10,52.59,16.2,1.66,82.72,70.17
Skerries,Ireland,November,11,47.04,14.65,1.59,88.05,74.73
Skerries,Ireland,December,12,45.39,18.75,1.54,85.62,74.39
Drogheda,Ireland,January,1,40.82,17.3,1.89,83.79,66.62
Drogheda,Ireland,February,2,45.14,16.33,2.17,86.27,76.79
Drogheda,Ireland,March,3,45.55,18.21,3.62,83.33,77.12
Drogheda,Ireland,April,4,47.78,17.36,2.32,80.63,71.76
Drogheda,Ireland,May,5,55.39,13.02,1.17,80.52,77.84
Drogheda,Ireland,June,6,55.61,14.5,1.02,76.13,75.09
Drogheda,Ireland,July,7,58.47,13.58,1.41,79.8,78.07
Drogheda,Ireland,August,8,59.76,17.15,1.69,77.04,70.2
Drogheda,Ireland,September,9,54.39,14.78,1.7,83.92,71.32
Drogheda,Ireland,October,10,52.24,15.6,1.81,83.56,70.8
Drogheda,Ireland,November,11,46.95,13.95,1.64,88.24,75.1
Drogheda,Ireland,December,12,45.1,17.96,1.59,86.5,75.7
Bray,Ireland,January,1,41.6,18.53,1.14,82.37,66.81
Bray,Ireland,February,2,45.84,17.66,1.36,85.3,77.6
Bray,Ireland,March,3,45.96,18.87,2.53,82.41,77.23
Bray,Ireland,April,4,48.33,18.06,1.5,79.8,72.11
Bray,Ireland,May,5,55.55,13.24,0.91,80.04,78.38
Bray,Ireland,June,6,55.93,15.09,0.53,75.99,75.2
Bray,Ireland,July,7,58.73,14.43,0.8,79.84,78.31
Bray,Ireland,August,8,60.13,18.71,0.88,76.73,70.1
Bray,Ireland,September,9,54.56,15.34,1.11,83.87,72.3
Bray,Ireland,October,10,52.95,16.33,1.27,82.13,70.77
Bray,Ireland,November,11,47.56,14.28,1.64,87.17,75.83
Bray,Ireland,December,12,45.82,19.09,1.09,85.25,76.09
Greystones,Ireland,January,1,41.87,18.41,1.11,81.9,66.91
Greystones,Ireland,February,2,46.01,17.56,1.33,84.99,77.78
Greystones,Ireland,March,3,46.1,18.77,2.49,82.16,77.33
Greystones,Ireland,April,4,48.48,17.98,1.48,79.63,72.23
Greystones,Ireland,May,5,55.52,13.14,0.9,80.23,78.47
Greystones,Ireland,June,6,55.98,15.01,0.52,76.02,75.26
Greystones,Ireland,July,7,58.75,14.33,0.78,79.96,78.38
Greystones,Ireland,August,8,60.17,18.64,0.88,76.86,70.2
Greystones,Ireland,September,9,54.57,15.25,1.09,83.87,72.4
Greystones,Ireland,October,10,53.12,16.23,1.25,81.91,70.93
Greystones,Ireland,November,11,47.85,14.17,1.64,86.56,75.97
Greystones,Ireland,December,12,46.05,18.97,1.07,84.9,76.25
Arklow,Ireland,January,1,41.01,16.57,0.76,84.08,67.71
Arklow,Ireland,February,2,45.76,15.76,1.28,86.81,79.07
Arklow,Ireland,March,3,46.07,17.33,1.91,83.66,78.16
Arklow,Ireland,April,4,48.41,16.71,1.2,80.62,73.68
Arklow,Ireland,May,5,55.46,11.95,0.9,80.51,78.76
Arklow,Ireland,June,6,55.93,13.52,0.31,76.45,75.48
Arklow,Ireland,July,7,58.62,12.98,0.57,80.61,78.46
Arklow,Ireland,August,8,60.03,17.22,0.8,78.14,70.59
Arklow,Ireland,September,9,54.94,13.66,0.69,83.63,73.05
Arklow,Ireland,October,10,52.61,14.75,0.93,83.89,72.62
Arklow,Ireland,November,11,47.68,13.03,2.1,88.39,77.69
Arklow,Ireland,December,12,45.51,17.32,0.77,86.87,77.72
Cobh,Ireland,January,1,42.35,21.2,0.12,84.25,63.23
Cobh,Ireland,February,2,47.42,21.46,0.19,89.26,78.6
Cobh,Ireland,March,3,46.16,23.33,1.0,87.49,77.34
Cobh,Ireland,April,4,49.08,23.08,0.83,82.7,70.31
Cobh,Ireland,May,5,54.37,17.03,0.98,84.18,73.8
Cobh,Ireland,June,6,56.19,18.31,0.16,78.07,68.82
Cobh,Ireland,July,7,58.09,17.97,0.21,83.71,73.05
Cobh,Ireland,August,8,59.21,21.6,0.5,85.88,71.46
Cobh,Ireland,September,9,56.49,19.87,0.02,83.11,71.02
Cobh,Ireland,October,10,53.76,20.43,0.29,87.19,73.68
Cobh,Ireland,November,11,49.62,18.6,2.25,89.84,78.39
Cobh,Ireland,December,12,46.96,21.89,0.26,88.33,77.82
Kinsale,Ireland,January,1,41.47,19.87,0.12,85.27,62.68
Kinsale,Ireland,February,2,46.78,19.78,0.22,90.1,79.85
Kinsale,Ireland,March,3,45.63,22.07,0.98,87.97,77.1
Kinsale,Ireland,April,4,48.58,20.72,0.8,82.6,70.66
Kinsale,Ireland,May,5,53.97,15.72,1.0,83.55,73.7
Kinsale,Ireland,June,6,55.95,16.55,0.16,76.92,68.55
Kinsale,Ireland,July,7,57.67,16.66,0.2,83.03,73.6
Kinsale,Ireland,August,8,58.77,19.34,0.52,85.54,71.8
Kinsale,Ireland,September,9,55.79,18.13,0.02,83.35,71.38
Kinsale,Ireland,October,10,52.84,18.38,0.29,88.15,72.88
Kinsale,Ireland,November,11,48.87,17.1,2.28,90.71,77.1
Kinsale,Ireland,December,12,46.14,19.53,0.29,89.15,77.4
Youghal,Ireland,January,1,41.89,20.27,0.12,84.97,62.85
Youghal,Ireland,February,2,47.06,20.31,0.21,89.82,78.49
Youghal,Ireland,March,3,45.97,22.34,1.15,87.85,76.3
Youghal,Ireland,April,4,48.89,21.5,0.76,82.85,69.59
Youghal,Ireland,May,5,54.26,15.83,1.01,84.04,72.77
Youghal,Ireland,June,6,56.06,16.88,0.16,77.81,68.21
Youghal,Ireland,July,7,57.92,16.85,0.21,83.67,72.27
Youghal,Ireland,August,8,59.02,20.25,0.49,85.92,70.81
Youghal,Ireland,September,9,56.18,18.42,0.02,83.37,70.72
Youghal,Ireland,October,10,53.33,19.19,0.29,87.7,72.79
Youghal,Ireland,November,11,49.21,17.42,2.23,90.47,77.52
Youghal,Ireland,December,12,46.59,20.53,0.26,88.73,77.09
Kilkee,Ireland,January,1,41.69,18.54,1.81,85.02,67.28
Kilkee,Ireland,February,2,46.89,17.26,3.65,87.91,80.23
Kilkee,Ireland,March,3,46.67,19.11,3.2,83.15,75.94
Kilkee,Ireland,April,4,50.05,18.53,1.89,79.58,72.79
Kilkee,Ireland,May,5,55.22,13.95,1.59,80.03,73.76
Kilkee,Ireland,June,6,56.2,16.07,1.13,77.19,73.61
Kilkee,Ireland,July,7,58.9,14.86,1.11,80.53,79.52
Kilkee,Ireland,August,8,60.15,19.84,1.78,80.56,75.73
Kilkee,Ireland,September,9,56.36,14.79,1.53,81.78,72.26
Kilkee,Ireland,October,10,53.43,16.84,2.27,85.55,74.27
Kilkee,Ireland,November,11,48.87,15.0,4.42,90.11,82.22
Kilkee,Ireland,December,12,46.81,19.85,2.33,87.37,78.67
Belmullet,Ireland,January,1,43.5,23.74,4.0,82.3,74.01
Belmullet,Ireland,February,2,46.61,21.82,3.55,83.96,81.84
Belmullet,Ireland,March,3,46.3,22.73,3.81,80.93,75.18
Belmullet,Ireland,April,4,49.28,21.19,3.46,80.22,71.7
Belmullet,Ireland,May,5,54.58,15.97,1.41,81.99,79.07
Belmullet,Ireland,June,6,54.62,18.58,1.93,79.76,80.22
Belmullet,Ireland,July,7,57.5,17.25,2.83,82.68,80.24
Belmullet,Ireland,August,8,58.59,23.78,7.83,83.16,75.78
Belmullet,Ireland,September,9,55.81,17.77,1.52,82.05,70.84
Belmullet,Ireland,October,10,53.48,22.66,4.45,85.43,78.04
Belmullet,Ireland,November,11,49.32,19.01,3.15,86.11,81.17
Belmullet,Ireland,December,12,47.18,24.98,4.2,84.98,81.41
Moville,Ireland,January,1,41.64,22.5,3.21,86.13,75.11
Moville,Ireland,February,2,44.71,21.05,2.83,87.31,80.5
Moville,Ireland,March,3,45.08,21.52,3.12,82.95,74.94
Moville,Ireland,April,4,47.8,20.55,2.74,81.52,76.45
Moville,Ireland,May,5,54.86,15.32,1.15,83.59,78.22
Moville,Ireland,June,6,54.7,18.59,1.48,78.6,84.79
Moville,Ireland,July,7,57.34,15.92,2.26,82.53,84.19
Moville,Ireland,August,8,58.5,21.09,4.79,82.01,77.57
Moville,Ireland,September,9,54.79,17.18,2.22,83.16,69.85
Moville,Ireland,October,10,52.78,20.93,1.97,83.64,72.41
Moville,Ireland,November,11,47.23,18.73,3.35,88.17,77.42
Moville,Ireland,December,12,45.74,23.55,3.82,86.81,85.54
Buncrana,Ireland,January,1,42.06,21.44,2.31,84.57,72.79
Buncrana,Ireland,February,2,45.04,20.39,2.18,86.14,77.76
Buncrana,Ireland,March,3,45.29,21.16,2.47,82.29,73.72
Buncrana,Ireland,April,4,48.06,19.67,2.23,80.89,72.03
Buncrana,Ireland,May,5,55.05,14.09,1.05,83.92,74.07
Buncrana,Ireland,June,6,54.73,17.47,1.07,79.3,80.48
Buncrana,Ireland,July,7,57.54,14.93,1.68,82.72,78.5
Buncrana,Ireland,August,8,58.49,19.89,3.88,82.41,74.2
Buncrana,Ireland,September,9,54.93,16.17,1.58,83.01,66.23
Buncrana,Ireland,October,10,52.75,19.29,1.56,84.29,69.84
Buncrana,Ireland,November,11,47.66,16.95,2.61,87.64,76.1
Buncrana,Ireland,December,12,46.07,21.83,2.5,86.64,81.91
Portsalon,Ireland,January,1,42.37,23.3,1.82,83.56,73.02
Portsalon,Ireland,February,2,45.16,22.06,1.9,85.72,78.18
Portsalon,Ireland,March,3,45.31,22.62,2.04,81.88,74.07
Portsalon,Ireland,April,4,48.12,20.94,1.85,80.53,71.78
Portsalon,Ireland,May,5,54.87,14.77,0.9,84.27,75.01
Portsalon,Ireland,June,6,54.72,18.91,0.84,79.39,81.13
Portsalon,Ireland,July,7,57.5,15.85,1.33,82.89,78.62
Portsalon,Ireland,August,8,58.49,20.99,3.45,82.26,74.92
Portsalon,Ireland,September,9,55.09,17.55,1.35,82.58,66.74
Portsalon,Ireland,October,10,52.93,20.63,1.19,83.86,70.54
Portsalon,Ireland,November,11,47.91,18.27,2.46,87.01,76.5
Portsalon,Ireland,December,12,46.37,23.58,2.03,86.04,82.92
Rathmullan,Ireland,January,1,41.76,20.25,2.71,85.04,73.17
Rathmullan,Ireland,February,2,44.91,19.4,2.42,86.36,78.24
Rathmullan,Ireland,March,3,45.04,20.13,2.78,82.84,74.7
Rathmullan,Ireland,April,4,47.89,18.86,2.51,81.05,72.46
Rathmullan,Ireland,May,5,55.04,13.54,1.2,83.72,74.22
Rathmullan,Ireland,June,6,54.66,16.6,1.27,79.41,80.74
Rathmullan,Ireland,July,7,57.48,14.25,1.89,82.69,79.25
Rathmullan,Ireland,August,8,58.33,19.09,4.28,82.69,74.69
Rathmullan,Ireland,September,9,54.74,15.22,1.68,83.27,66.5
Rathmullan,Ireland,October,10,52.54,18.25,1.85,84.74,70.4
Rathmullan,Ireland,November,11,47.33,16.0,2.68,88.54,77.39
Rathmullan,Ireland,December,12,45.82,20.7,2.78,87.1,82.25
Dungloe,Ireland,January,1,41.99,21.75,3.8,82.35,75.75
Dungloe,Ireland,February,2,45.11,20.15,2.77,84.31,79.13
Dungloe,Ireland,March,3,45.27,22.29,2.94,81.33,76.32
Dungloe,Ireland,April,4,47.83,19.76,2.69,80.79,72.66
Dungloe,Ireland,May,5,54.71,15.16,1.63,82.73,76.51
Dungloe,Ireland,June,6,54.24,18.62,1.86,80.2,79.65
Dungloe,Ireland,July,7,57.11,16.32,2.53,82.41,78.05
Dungloe,Ireland,August,8,58.01,22.59,5.39,81.91,74.73
Dungloe,Ireland,September,9,54.71,18.52,1.53,82.1,66.61
Dungloe,Ireland,October,10,52.46,20.73,2.35,84.37,73.23
Dungloe,Ireland,November,11,48.02,18.34,2.92,85.18,81.38
Dungloe,Ireland,December,12,46.16,23.59,3.13,85.13,83.71
Glencolumbkille,Ireland,January,1,41.58,19.15,4.3,83.38,76.12
Glencolumbkille,Ireland,February,2,45.13,18.06,2.99,85.23,82.07
Glencolumbkille,Ireland,March,3,45.22,19.33,3.22,83.66,80.96
Glencolumbkille,Ireland,April,4,47.85,17.98,2.78,82.42,74.02
Glencolumbkille,Ireland,May,5,54.95,13.8,1.92,82.39,77.93
Glencolumbkille,Ireland,June,6,54.35,16.87,2.31,79.51,82.72
Glencolumbkille,Ireland,July,7,57.27,14.13,3.25,81.95,83.7
Glencolumbkille,Ireland,August,8,58.01,19.04,6.02,82.05,77.67
Glencolumbkille,Ireland,September,9,54.76,14.97,1.68,81.91,69.99
Glencolumbkille,Ireland,October,10,52.28,16.24,2.85,84.47,75.83
Glencolumbkille,Ireland,November,11,47.9,15.96,3.17,86.26,85.9
Glencolumbkille,Ireland,December,12,45.94,20.88,3.42,85.05,83.97
Kilcar,Ireland,January,1,41.45,18.64,4.08,84.03,75.45
Kilcar,Ireland,February,2,45.14,17.48,2.91,85.43,82.42
Kilcar,Ireland,March,3,45.01,18.49,3.54,84.24,81.65
Kilcar,Ireland,April,4,47.89,17.62,2.81,82.19,73.97
Kilcar,Ireland,May,5,55.02,13.61,1.93,82.37,77.42
Kilcar,Ireland,June,6,54.38,16.71,2.37,79.52,83.07
Kilcar,Ireland,July,7,57.35,13.82,3.29,81.95,84.85
Kilcar,Ireland,August,8,58.02,18.41,5.89,82.16,78.39
Kilcar,Ireland,September,9,54.77,14.57,1.56,82.04,69.91
Kilcar,Ireland,October,10,52.24,15.76,2.87,84.66,76.15
Kilcar,Ireland,November,11,47.61,15.29,3.08,87.09,86.24
Kilcar,Ireland,December,12,45.84,20.18,3.24,85.23,83.75
Burtonport,Ireland,January,1,41.65,21.75,4.63,82.76,76.44
Burtonport,Ireland,February,2,44.94,20.47,3.22,84.42,80.42
Burtonport,Ireland,March,3,45.25,22.98,3.38,81.63,78.86
Burtonport,Ireland,April,4,47.62,20.03,3.11,81.22,73.94
Burtonport,Ireland,May,5,54.62,15.52,1.91,82.35,76.77
Burtonport,Ireland,June,6,54.05,18.86,2.29,80.3,80.32
Burtonport,Ireland,July,7,56.95,16.58,3.03,82.33,79.82
Burtonport,Ireland,August,8,57.78,23.02,6.21,82.1,75.94
Burtonport,Ireland,September,9,54.43,18.89,1.72,82.36,67.44
Burtonport,Ireland,October,10,52.15,21.08,2.88,84.91,74.72
Burtonport,Ireland,November,11,48.07,18.83,3.19,84.68,84.81
Burtonport,Ireland,December,12,45.89,24.2,3.73,85.27,83.76
Downings,Ireland,January,1,42.33,22.77,2.18,83.24,73.83
Downings,Ireland,February,2,45.2,21.37,2.03,85.32,78.17
Downings,Ireland,March,3,45.45,22.27,2.08,81.41,73.85
Downings,Ireland,April,4,48.15,20.34,1.95,80.38,71.64
Downings,Ireland,May,5,54.92,14.34,0.96,83.75,75.5
Downings,Ireland,June,6,54.69,18.26,0.93,79.48,80.37
