state,state_code,city,latitude,longitude
Mississippi,MS,Jackson,32.2998686,-90.1830408
Mississippi,MS,Meridian,32.3643098,-88.703656
Mississippi,MS,Clinton,32.3410552,-90.3215983
Mississippi,MS,Columbus,33.4956744,-88.4272627
Missouri,MO,Kansas City,39.100105,-94.5781416
Missouri,MO,Lee's Summit,38.9107156,-94.3821295
Missouri,MO,Blue Springs,39.017316,-94.282265
Missouri,MO,Cape Girardeau,37.3034933,-89.5230357
Montana,MT,Billings,45.7874957,-108.49607
Montana,MT,Helena,46.5927425,-112.036277
Montana,MT,Miles City,46.4070219,-105.847843
Montana,MT,Hamilton,46.2472045,-114.1555462
Nebraska,NE,Omaha,41.2587459,-95.9383758
Nebraska,NE,Fremont,41.4338363,-96.4960449
Nebraska,NE,Papillion,41.1544433,-96.0422378
Nebraska,NE,Lexington,40.7788486,-99.7414869
Nevada,NV,Las Vegas,36.1716997,-115.146357
Nevada,NV,Carson City,39.1663259,-119.7670374
Nevada,NV,Fallon,39.4745166,-118.777895
Nevada,NV,Carlin,40.713059,-116.1070877
New Hampshire,NH,Manchester,42.9956397,-71.4547891
New Hampshire,NH,Keene,42.933597,-72.2784264
New Hampshire,NH,Somersworth,43.2625585,-70.8645872
New Hampshire,NH,Hudson,42.7655784,-71.4393423
New Jersey,NJ,Newark,40.735657,-74.1723667
New Jersey,NJ,Woodbridge,40.55418,-74.2860008
New Jersey,NJ,Clifton,40.8584328,-74.1637553
New Jersey,NJ,Middletown,40.3898188,-74.1162152
New Mexico,NM,Albuquerque,35.0841034,-106.650985
New Mexico,NM,Farmington,36.7291152,-108.205445
New Mexico,NM,Carlsbad,32.4257456,-104.237612
New Mexico,NM,Sunland Park,31.796496,-106.579989
New York,NY,New York City,40.7127281,-74.0060152
New York,NY,Albany,42.6511674,-73.754968
New York,NY,White Plains,41.0339862,-73.7629097
New York,NY,Freeport,40.6576071,-73.5835826
North Carolina,NC,Charlotte,35.2272086,-80.8430827
North Carolina,NC,Fayetteville,35.0525759,-78.878292
North Carolina,NC,Asheville,35.595363,-82.5508407
North Carolina,NC,Rocky Mount,35.9423833,-77.7956949
North Dakota,ND,Fargo,46.877229,-96.789821
North Dakota,ND,Williston,48.1465457,-103.621814
North Dakota,ND,Devils Lake,48.112779,-98.86512
North Dakota,ND,Stanley,48.317241,-102.390452
Ohio,OH,Columbus,39.9622601,-83.0007065
Ohio,OH,Dayton,39.7589478,-84.1916069
Ohio,OH,Hamilton,39.2085354,-84.5501874
Ohio,OH,Cuyahoga Falls,41.1362729,-81.4828123
Oklahoma,OK,Oklahoma City,35.4729886,-97.5170536
Oklahoma,OK,Edmond,35.6571367,-97.4649038
Oklahoma,OK,Muskogee,35.6630196,-95.3927706
Oklahoma,OK,Ardmore,34.1729273,-97.1309119
Oregon,OR,Portland,45.5202471,-122.674194
Oregon,OR,Beaverton,45.4871723,-122.80378
Oregon,OR,Albany,44.6365071,-123.1059324
Oregon,OR,Oregon City,45.3573429,-122.606758
Pennsylvania,PA,Philadelphia,39.9527237,-75.1635262
Pennsylvania,PA,Scranton,41.4086874,-75.6621294
Pennsylvania,PA,York,39.962493,-76.7276989
Pennsylvania,PA,Easton,40.6916081,-75.2099866
Rhode Island,RI,Providence,41.8239891,-71.4128343
Rhode Island,RI,Woonsocket,42.0028761,-71.5147839
Rhode Island,RI,North Providence,41.8500997,-71.4661703
Rhode Island,RI,Portsmouth,41.6024068,-71.2503157
South Carolina,SC,Columbia,34.000754,-81.0352313
South Carolina,SC,Greenville,34.851354,-82.3984882
South Carolina,SC,Spartanburg,34.9498007,-81.9320157
South Carolina,SC,Greer,34.9381361,-82.2272119
South Dakota,SD,Sioux Falls,43.5476008,-96.7293629
South Dakota,SD,Mitchell,43.70953,-98.025379
South Dakota,SD,Brandon,43.5909294,-96.5874544
South Dakota,SD,Tea,43.44661,-96.836034
Tennessee,TN,Nashville,36.1622767,-86.7742984
Tennessee,TN,Murfreesboro,35.8460396,-86.3921096
Tennessee,TN,Hendersonville,36.3049177,-86.621443
Tennessee,TN,Germantown,35.0867577,-89.8100858
Texas,TX,Houston,29.7589382,-95.3676974
Texas,TX,El Paso,31.7601164,-106.4870404
Texas,TX,Lubbock,33.5855677,-101.8470215
Texas,TX,McKinney,33.1976496,-96.6154471
Utah,UT,Salt Lake City,40.7596198,-111.886797
Utah,UT,Sandy,40.5710454,-111.8953815
Utah,UT,Lehi,40.3881114,-111.8486019
Utah,UT,Draper,40.5247777,-111.8627989
Vermont,VT,Burlington,44.4761601,-73.212906
Vermont,VT,Brattleboro,42.8507588,-72.5572913
Vermont,VT,Barre,44.1969042,-72.5007458
Vermont,VT,Middlebury,44.014299,-73.167229
Virginia,VA,Virginia Beach,36.8496579,-75.9760751
Virginia,VA,Alexandria,38.8051095,-77.0470229
Virginia,VA,Lynchburg,37.4137536,-79.1422464
Virginia,VA,Blacksburg,37.2296566,-80.4136767
Washington,WA,Seattle,47.6038321,-122.330062
Washington,WA,Kent,47.3826903,-122.2270272
Washington,WA,Spokane Valley,47.6571104,-117.2613936
Washington,WA,Marysville,48.0517429,-122.1768209
West Virginia,WV,Charleston,38.3505995,-81.6332812
West Virginia,WV,Weirton,40.4002396,-80.5899788
West Virginia,WV,South Charleston,38.368429,-81.69957
West Virginia,WV,Bridgeport,39.2864787,-80.2561981
Wisconsin,WI,Milwaukee,43.0386475,-87.9090751
Wisconsin,WI,Appleton,44.2613967,-88.4069744
Wisconsin,WI,West Allis,43.0166806,-88.0070315
Wisconsin,WI,New Berlin,42.9762181,-88.1084968
Wyoming,WY,Cheyenne,41.139981,-104.820246
Wyoming,WY,Sheridan,44.7947537,-106.8222688
Wyoming,WY,Jackson,43.479965,-110.761815
Wyoming,WY,Douglas,42.7595708,-105.382624
