course_name,city,state_country,location,total_par,h01_par,h01_yards,h01_hcp,h02_par,h02_yards,h02_hcp,h03_par,h03_yards,h03_hcp,h04_par,h04_yards,h04_hcp,h05_par,h05_yards,h05_hcp,h06_par,h06_yards,h06_hcp,h07_par,h07_yards,h07_hcp,h08_par,h08_yards,h08_hcp,h09_par,h09_yards,h09_hcp,f9_par,f9_yards,h10_par,h10_yards,h10_hcp,h11_par,h11_yards,h11_hcp,h12_par,h12_yards,h12_hcp,h13_par,h13_yards,h13_hcp,h14_par,h14_yards,h14_hcp,h15_par,h15_yards,h15_hcp,h16_par,h16_yards,h16_hcp,h17_par,h17_yards,h17_hcp,h18_par,h18_yards,h18_hcp,b9_par,b9_yards,total_yardage,course_rating,slope_rating,prestige_level,est_year,created_at,elevation,course_id,temp_factor,humidity_factor,wind_factor,rain_factor,cloud_factor,design_strategy,narrowness_factor,hazard_density,green_speed,turf_firmness,rough_length,crowd_factor,elevation_factor,terrain_difficulty,temp_min_jan,temp_avg_jan,temp_max_jan,temp_min_feb,temp_avg_feb,temp_max_feb,temp_min_mar,temp_avg_mar,temp_max_mar,temp_min_apr,temp_avg_apr,temp_max_apr,temp_min_may,temp_avg_may,temp_max_may,temp_min_jun,temp_avg_jun,temp_max_jun,temp_min_jul,temp_avg_jul,temp_max_jul,temp_min_aug,temp_avg_aug,temp_max_aug,temp_min_sep,temp_avg_sep,temp_max_sep,temp_min_oct,temp_avg_oct,temp_max_oct,temp_min_nov,temp_avg_nov,temp_max_nov,temp_min_dec,temp_avg_dec,temp_max_dec,rain_prop_jan,rain_prop_feb,rain_prop_mar,rain_prop_apr,rain_prop_may,rain_prop_jun,rain_prop_jul,rain_prop_aug,rain_prop_sep,rain_prop_oct,rain_prop_nov,rain_prop_dec,wind_speed_min_jan,wind_speed_avg_jan,wind_speed_max_jan,wind_speed_min_feb,wind_speed_avg_feb,wind_speed_max_feb,wind_speed_min_mar,wind_speed_avg_mar,wind_speed_max_mar,wind_speed_min_apr,wind_speed_avg_apr,wind_speed_max_apr,wind_speed_min_may,wind_speed_avg_may,wind_speed_max_may,wind_speed_min_jun,wind_speed_avg_jun,wind_speed_max_jun,wind_speed_min_jul,wind_speed_avg_jul,wind_speed_max_jul,wind_speed_min_aug,wind_speed_avg_aug,wind_speed_max_aug,wind_speed_min_sep,wind_speed_avg_sep,wind_speed_max_sep,wind_speed_min_oct,wind_speed_avg_oct,wind_speed_max_oct,wind_speed_min_nov,wind_speed_avg_nov,wind_speed_max_nov,wind_speed_min_dec,wind_speed_avg_dec,wind_speed_max_dec,humidity_min_jan,humidiy_avg_jan,humidity_max_jan,humidity_min_feb,humidiy_avg_feb,humidity_max_feb,humidity_min_mar,humidiy_avg_mar,humidity_max_mar,humidity_min_apr,humidiy_avg_apr,humidity_max_apr,humidity_min_may,humidiy_avg_may,humidity_max_may,humidity_min_jun,humidiy_avg_jun,humidity_max_jun,humidity_min_jul,humidiy_avg_jul,humidity_max_jul,humidity_min_aug,humidiy_avg_aug,humidity_max_aug,humidity_min_sep,humidiy_avg_sep,humidity_max_sep,humidity_min_oct,humidiy_avg_oct,humidity_max_oct,humidity_min_nov,humidiy_avg_nov,humidity_max_nov,humidity_min_dec,humidiy_avg_dec,humidity_max_dec,cloud_cover_min_jan,cloud_cover_avg_jan,cloud_cover_max_jan,cloud_cover_min_feb,cloud_cover_avg_feb,cloud_cover_max_feb,cloud_cover_min_mar,cloud_cover_avg_mar,cloud_cover_max_mar,cloud_cover_min_apr,cloud_cover_avg_apr,cloud_cover_max_apr,cloud_cover_min_may,cloud_cover_avg_may,cloud_cover_max_may,cloud_cover_min_jun,cloud_cover_avg_jun,cloud_cover_max_jun,cloud_cover_min_jul,cloud_cover_avg_jul,cloud_cover_max_jul,cloud_cover_min_aug,cloud_cover_avg_aug,cloud_cover_max_aug,cloud_cover_min_sep,cloud_cover_avg_sep,cloud_cover_max_sep,cloud_cover_min_oct,cloud_cover_avg_oct,cloud_cover_max_oct,cloud_cover_min_nov,cloud_cover_avg_nov,cloud_cover_max_nov,cloud_cover_min_dec,cloud_cover_avg_dec,cloud_cover_max_dec
Madeira Cricket Club,Madeira,OH (US),"Madeira, OH (US)",72,4,435,11,3,166,15,5,675,1,4,361,9,4,356,17,3,165,3,4,483,7,4,374,13,5,565,5,36,3580,5,619,18,4,419,8,5,507,12,4,400,10,3,144,16,4,344,14,4,366,6,3,192,2,4,458,4,36,3449,7029,75.3549077922078,134.659662337662,0.25,1919,###,4524.2782152231,###,0.495,0.957142857142857,0.146666666666667,0.549090909090909,0.605,0.47,0.57,0.21,0.51,0.79,0.84,0.74,0.32,0.19,31.9,41.9,51.9,37.8,47.8,57.8,43.8,53.8,63.8,49.8,59.8,69.8,55.8,65.8,75.8,61.8,71.8,81.8,67.7,77.7,87.7,61.8,71.8,81.8,55.8,65.8,75.8,49.8,59.8,69.8,43.8,53.8,63.8,37.8,47.8,57.8,0.2464,0.2816,0.3168,0.352,0.3872,0.4224,0.4576,0.4224,0.3872,0.352,0.3168,0.2816,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,67,77,87,67,77,87,67,77,87,67,77,87,67,77,87,67,77,87,67,77,87,67,77,87,67,77,87,67,77,87,67,77,87,67,77,87,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705
Ankeny Hunt Club,Ankeny,IA (US),"Ankeny, IA (US)",71,4,432,16,4,375,6,5,645,10,3,134,8,4,345,14,4,476,12,4,400,4,3,220,2,4,407,18,35,3434,4,356,17,5,526,9,4,433,13,4,389,7,4,489,15,3,181,1,4,352,5,3,159,11,5,566,3,36,3451,6885,74.6411350649351,132.327480519481,0.47,1939,###,32.8083989501312,###,0.25,0.857142857142857,0.2,0.490909090909091,0.55,0.54,0.29,0.44,0.77,0.56,0.47,0.54,0.31,0.63,25,35,45,30,40,50,35,45,55,40,50,60,45,55,65,50,60,70,55,65,75,50,60,70,45,55,65,40,50,60,35,45,55,30,40,50,0.224,0.256,0.288,0.32,0.352,0.384,0.416,0.384,0.352,0.32,0.288,0.256,6,8,13,6,8,13,6,8,13,6,8,13,6,8,13,6,8,13,6,8,13,6,8,13,6,8,13,6,8,13,6,8,13,6,8,13,60,70,80,60,70,80,60,70,80,60,70,80,60,70,80,60,70,80,60,70,80,60,70,80,60,70,80,60,70,80,60,70,80,60,70,80,0.45,0.55,0.65,0.45,0.55,0.65,0.45,0.55,0.65,0.45,0.55,0.65,0.45,0.55,0.65,0.45,0.55,0.65,0.45,0.55,0.65,0.45,0.55,0.65,0.45,0.55,0.65,0.45,0.55,0.65,0.45,0.55,0.65,0.45,0.55,0.65
Conshohocken Club,Conshohocken,PA (US),"Conshohocken, PA (US)",71,4,481,14,3,222,4,5,508,8,4,384,6,4,444,12,4,402,10,3,219,2,5,506,18,4,427,16,36,3593,5,521,15,3,201,7,4,337,11,4,415,5,4,344,13,3,152,17,4,449,3,4,354,9,4,455,1,35,3228,6821,76.0635744588745,136.871829004329,0.84,1967,###,134.514435695538,###,0.437083333333334,0.957142857142857,0.146666666666667,0.649090909090909,0.605,0.44,0.55,0.81,0.61,1,0.53,0.65,0.88,0.19,30.2,40.2,50.2,36,46,56,41.7,51.7,61.7,47.5,57.5,67.5,53.2,63.2,73.2,59,69,79,64.8,74.8,84.8,59,69,79,53.2,63.2,73.2,47.5,57.5,67.5,41.7,51.7,61.7,36,46,56,0.2849,0.3256,0.3663,0.407,0.4477,0.4884,0.5291,0.4884,0.4477,0.407,0.3663,0.3256,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,67,77,87,67,77,87,67,77,87,67,77,87,67,77,87,67,77,87,67,77,87,67,77,87,67,77,87,67,77,87,67,77,87,67,77,87,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705
Hopewell Golf & Country Club,Hopewell,NJ (US),"Hopewell, NJ (US)",72,4,483,13,4,338,5,3,160,9,5,506,3,4,387,11,4,401,15,3,178,17,5,599,1,4,418,7,36,3470,5,561,12,4,351,2,4,471,6,3,247,4,4,334,18,5,587,10,3,234,8,4,439,16,4,413,14,36,3637,7107,76.2740744588745,137.729579004329,0.74,1981,###,908.792650918635,###,0.168958333333333,0.807142857142857,0.253333333333333,0.649090909090909,0.605,0.74,0.56,0.72,0.91,0.76,0.9,0.66,0.52,0.49,22.7,32.7,42.7,27.4,37.4,47.4,32.1,42.1,52.1,36.8,46.8,56.8,41.4,51.4,61.4,46.1,56.1,66.1,50.8,60.8,70.8,46.1,56.1,66.1,41.4,51.4,61.4,36.8,46.8,56.8,32.1,42.1,52.1,27.4,37.4,47.4,0.2849,0.3256,0.3663,0.407,0.4477,0.4884,0.5291,0.4884,0.4477,0.407,0.3663,0.3256,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705
Frisco Hunt Club,Frisco,TX (US),"Frisco, TX (US)",72,4,497,11,5,667,3,4,470,7,3,145,1,4,413,9,4,472,13,4,468,15,3,190,5,5,516,17,36,3838,4,414,10,4,410,4,3,144,2,4,395,16,3,135,8,4,496,6,5,536,18,4,470,14,5,608,12,36,3608,7446,76.103287012987,136.825496103896,0.81,2008,###,45.9317585301837,###,0.6275,0.831428571428572,0.233333333333333,0.498181818181818,0.517,0.39,0.73,0.81,0.43,0.75,0.66,0.61,0.09,0.7,35.6,45.6,55.6,42.1,52.1,62.1,48.6,58.6,68.6,55.1,65.1,75.1,61.6,71.6,81.6,68.1,78.1,88.1,74.6,84.6,94.6,68.1,78.1,88.1,61.6,71.6,81.6,55.1,65.1,75.1,48.6,58.6,68.6,42.1,52.1,62.1,0.2268,0.2592,0.2916,0.324,0.3564,0.3888,0.4212,0.3888,0.3564,0.324,0.2916,0.2592,6.5,8.5,13.5,6.5,8.5,13.5,6.5,8.5,13.5,6.5,8.5,13.5,6.5,8.5,13.5,6.5,8.5,13.5,6.5,8.5,13.5,6.5,8.5,13.5,6.5,8.5,13.5,6.5,8.5,13.5,6.5,8.5,13.5,6.5,8.5,13.5,58.2,68.2,78.2,58.2,68.2,78.2,58.2,68.2,78.2,58.2,68.2,78.2,58.2,68.2,78.2,58.2,68.2,78.2,58.2,68.2,78.2,58.2,68.2,78.2,58.2,68.2,78.2,58.2,68.2,78.2,58.2,68.2,78.2,58.2,68.2,78.2,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617
Leawood Hunt Club,Leawood,KS (US),"Leawood, KS (US)",72,4,404,11,3,251,17,4,403,15,5,546,7,4,477,3,4,459,13,4,372,9,3,146,5,5,583,1,36,3641,4,342,10,4,358,2,4,449,8,3,171,12,4,366,4,5,585,6,3,178,16,4,392,14,5,581,18,36,3422,7063,75.2000251082251,133.966984199134,0.67,1958,###,846.456692913386,###,0.443958333333333,0.878571428571429,0.3,0.498181818181818,0.517,0.48,0.54,0.9,0.32,0.31,0.44,0.65,0.79,0.33,30.4,40.4,50.4,36.2,46.2,56.2,42,52,62,47.8,57.8,67.8,53.5,63.5,73.5,59.3,69.3,79.3,65.1,75.1,85.1,59.3,69.3,79.3,53.5,63.5,73.5,47.8,57.8,67.8,42,52,62,36.2,46.2,56.2,0.2268,0.2592,0.2916,0.324,0.3564,0.3888,0.4212,0.3888,0.3564,0.324,0.2916,0.2592,7.5,9.5,14.5,7.5,9.5,14.5,7.5,9.5,14.5,7.5,9.5,14.5,7.5,9.5,14.5,7.5,9.5,14.5,7.5,9.5,14.5,7.5,9.5,14.5,7.5,9.5,14.5,7.5,9.5,14.5,7.5,9.5,14.5,7.5,9.5,14.5,61.5,71.5,81.5,61.5,71.5,81.5,61.5,71.5,81.5,61.5,71.5,81.5,61.5,71.5,81.5,61.5,71.5,81.5,61.5,71.5,81.5,61.5,71.5,81.5,61.5,71.5,81.5,61.5,71.5,81.5,61.5,71.5,81.5,61.5,71.5,81.5,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617
South Kingstown Country Club,South Kingstown,RI (US),"South Kingstown, RI (US)",70,4,490,9,5,623,15,3,194,13,4,499,5,4,499,1,4,352,11,3,242,7,4,490,3,4,428,17,35,3817,5,642,8,3,124,18,4,485,6,4,497,10,4,406,2,3,243,4,4,356,14,3,226,12,5,508,16,35,3487,7304,75.7344987012987,135.76638961039,0.21,1936,###,718.503937007874,###,0.25,0.857142857142857,0.2,0.581818181818182,0.55,0.72,0.55,0.51,0.92,0.95,0.22,0.78,0.16,0.12,25,35,45,30,40,50,35,45,55,40,50,60,45,55,65,50,60,70,55,65,75,50,60,70,45,55,65,40,50,60,35,45,55,30,40,50,0.259,0.296,0.333,0.37,0.407,0.444,0.481,0.444,0.407,0.37,0.333,0.296,6,8,13,6,8,13,6,8,13,6,8,13,6,8,13,6,8,13,6,8,13,6,8,13,6,8,13,6,8,13,6,8,13,6,8,13,60,70,80,60,70,80,60,70,80,60,70,80,60,70,80,60,70,80,60,70,80,60,70,80,60,70,80,60,70,80,60,70,80,60,70,80,0.45,0.55,0.65,0.45,0.55,0.65,0.45,0.55,0.65,0.45,0.55,0.65,0.45,0.55,0.65,0.45,0.55,0.65,0.45,0.55,0.65,0.45,0.55,0.65,0.45,0.55,0.65,0.45,0.55,0.65,0.45,0.55,0.65,0.45,0.55,0.65
Pike Creek National Golf Club,Pike Creek,DE (US),"Pike Creek, DE (US)",71,4,423,6,3,131,16,5,547,4,4,494,8,4,409,18,3,190,2,4,491,12,5,519,10,4,362,14,36,3566,4,447,7,4,459,13,3,173,11,4,490,3,4,372,9,4,346,5,3,235,17,4,447,1,5,617,15,35,3586,7152,75.2750744588744,134.202579004329,0.5,1948,###,108.267716535433,###,0.168958333333333,0.807142857142857,0.253333333333333,0.649090909090909,0.605,0.49,0.8,0.63,0.95,0.31,0.29,0.68,0.3,0.69,22.7,32.7,42.7,27.4,37.4,47.4,32.1,42.1,52.1,36.8,46.8,56.8,41.4,51.4,61.4,46.1,56.1,66.1,50.8,60.8,70.8,46.1,56.1,66.1,41.4,51.4,61.4,36.8,46.8,56.8,32.1,42.1,52.1,27.4,37.4,47.4,0.2849,0.3256,0.3663,0.407,0.4477,0.4884,0.5291,0.4884,0.4477,0.407,0.3663,0.3256,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705
TCC Hoover,Hoover,AL (US),"Hoover, AL (US)",71,4,331,5,5,518,11,3,249,9,4,454,17,4,418,1,5,537,7,3,157,3,4,483,15,4,454,13,36,3601,4,372,4,3,199,14,5,570,2,4,501,6,5,596,16,3,246,18,4,482,10,3,178,8,4,485,12,35,3629,7230,74.1323125541125,130.654317099567,0.47,1966,###,574.146981627297,###,0.381041666666667,0.834285714285714,0.18,0.509090909090909,0.605,0.45,0.33,0.69,0.52,0.51,0.27,0.52,0.78,0.83,28.7,38.7,48.7,34.2,44.2,54.2,39.7,49.7,59.7,45.2,55.2,65.2,50.8,60.8,70.8,56.3,66.3,76.3,61.8,71.8,81.8,56.3,66.3,76.3,50.8,60.8,70.8,45.2,55.2,65.2,39.7,49.7,59.7,34.2,44.2,54.2,0.231,0.264,0.297,0.33,0.363,0.396,0.429,0.396,0.363,0.33,0.297,0.264,5.7,7.7,12.7,5.7,7.7,12.7,5.7,7.7,12.7,5.7,7.7,12.7,5.7,7.7,12.7,5.7,7.7,12.7,5.7,7.7,12.7,5.7,7.7,12.7,5.7,7.7,12.7,5.7,7.7,12.7,5.7,7.7,12.7,5.7,7.7,12.7,58.4,68.4,78.4,58.4,68.4,78.4,58.4,68.4,78.4,58.4,68.4,78.4,58.4,68.4,78.4,58.4,68.4,78.4,58.4,68.4,78.4,58.4,68.4,78.4,58.4,68.4,78.4,58.4,68.4,78.4,58.4,68.4,78.4,58.4,68.4,78.4,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705
Cambridge Country Club,Cambridge,MA (US),"Cambridge, MA (US)",71,4,377,2,3,195,12,4,455,18,3,153,4,4,388,14,5,539,16,4,374,8,5,649,6,4,397,10,36,3527,4,457,3,3,212,9,4,350,7,3,182,15,4,437,17,5,633,5,4,395,1,4,410,13,4,476,11,35,3552,7079,74.7739077922078,132.795662337662,0.51,1990,###,36.0892388451444,###,0.0625,0.807142857142857,0.253333333333333,0.649090909090909,0.605,0.87,0.49,0.35,0.99,0.57,0.38,0.64,0.68,0.35,19.8,29.8,39.8,24,34,44,28.2,38.2,48.2,32.5,42.5,52.5,36.8,46.8,56.8,41,51,61,45.2,55.2,65.2,41,51,61,36.8,46.8,56.8,32.5,42.5,52.5,28.2,38.2,48.2,24,34,44,0.2849,0.3256,0.3663,0.407,0.4477,0.4884,0.5291,0.4884,0.4477,0.407,0.3663,0.3256,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,56.5,66.5,76.5,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705
Cinco Ranch Cricket Club,Cinco Ranch,TX (US),"Cinco Ranch, TX (US)",71,4,462,10,3,251,16,4,479,18,5,632,2,3,189,12,4,474,14,5,604,6,3,182,4,4,424,8,35,3697,5,653,1,4,406,7,5,606,5,3,196,13,4,412,15,4,367,17,3,127,3,4,424,11,4,401,9,36,3592,7289,75.939287012987,136.469496103896,0.61,1949,###,780.839895013123,###,0.6275,0.831428571428572,0.233333333333333,0.498181818181818,0.517,0.69,0.22,0.85,0.71,0.86,0.6,0.68,0.99,0.8,35.6,45.6,55.6,42.1,52.1,62.1,48.6,58.6,68.6,55.1,65.1,75.1,61.6,71.6,81.6,68.1,78.1,88.1,74.6,84.6,94.6,68.1,78.1,88.1,61.6,71.6,81.6,55.1,65.1,75.1,48.6,58.6,68.6,42.1,52.1,62.1,0.2268,0.2592,0.2916,0.324,0.3564,0.3888,0.4212,0.3888,0.3564,0.324,0.2916,0.2592,6.5,8.5,13.5,6.5,8.5,13.5,6.5,8.5,13.5,6.5,8.5,13.5,6.5,8.5,13.5,6.5,8.5,13.5,6.5,8.5,13.5,6.5,8.5,13.5,6.5,8.5,13.5,6.5,8.5,13.5,6.5,8.5,13.5,6.5,8.5,13.5,58.2,68.2,78.2,58.2,68.2,78.2,58.2,68.2,78.2,58.2,68.2,78.2,58.2,68.2,78.2,58.2,68.2,78.2,58.2,68.2,78.2,58.2,68.2,78.2,58.2,68.2,78.2,58.2,68.2,78.2,58.2,68.2,78.2,58.2,68.2,78.2,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617
Shawnee Cricket Club,Shawnee,KS (US),"Shawnee, KS (US)",71,4,452,5,3,212,3,5,633,11,4,402,13,4,500,15,4,475,1,3,238,17,4,385,9,4,445,7,35,3742,5,596,8,3,231,14,4,428,16,4,424,18,4,435,10,5,598,12,3,175,4,4,488,2,4,371,6,36,3746,7488,75.089503030303,133.835007575758,0.97,1948,###,948.162729658793,###,0.168958333333333,0.74,0.4,0.449090909090909,0.495,0.64,0.39,0.54,0.97,0.82,0.75,0.27,0.73,0.68,22.7,32.7,42.7,27.4,37.4,47.4,32.1,42.1,52.1,36.8,46.8,56.8,41.4,51.4,61.4,46.1,56.1,66.1,50.8,60.8,70.8,46.1,56.1,66.1,41.4,51.4,61.4,36.8,46.8,56.8,32.1,42.1,52.1,27.4,37.4,47.4,0.2079,0.2376,0.2673,0.297,0.3267,0.3564,0.3861,0.3564,0.3267,0.297,0.2673,0.2376,9,11,16,9,11,16,9,11,16,9,11,16,9,11,16,9,11,16,9,11,16,9,11,16,9,11,16,9,11,16,9,11,16,9,11,16,51.8,61.8,71.8,51.8,61.8,71.8,51.8,61.8,71.8,51.8,61.8,71.8,51.8,61.8,71.8,51.8,61.8,71.8,51.8,61.8,71.8,51.8,61.8,71.8,51.8,61.8,71.8,51.8,61.8,71.8,51.8,61.8,71.8,51.8,61.8,71.8,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595
Lincoln Golf & Country Club,Lincoln,ND (US),"Lincoln, ND (US)",70,5,529,6,3,217,12,4,399,18,4,453,14,4,397,16,4,484,8,3,219,10,4,378,2,4,491,4,35,3567,5,600,3,4,471,1,4,481,9,4,482,11,3,121,13,4,331,15,4,406,7,3,121,5,4,372,17,35,3385,6952,75.4019696969697,134.683174242424,0.79,1995,###,4721.12860892388,###,0.293541666666667,0.8,0.266666666666667,0.409090909090909,0.495,0.75,0.5,0.46,0.4,0.86,0.63,0.44,0.82,0.33,26.2,36.2,46.2,31.4,41.4,51.4,36.6,46.6,56.6,41.7,51.7,61.7,46.9,56.9,66.9,52.1,62.1,72.1,57.3,67.3,77.3,52.1,62.1,72.1,46.9,56.9,66.9,41.7,51.7,61.7,36.6,46.6,56.6,31.4,41.4,51.4,0.1925,0.22,0.2475,0.275,0.3025,0.33,0.3575,0.33,0.3025,0.275,0.2475,0.22,7,9,14,7,9,14,7,9,14,7,9,14,7,9,14,7,9,14,7,9,14,7,9,14,7,9,14,7,9,14,7,9,14,7,9,14,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595
Madison Golf Club,Madison,AL (US),"Madison, AL (US)",71,4,434,1,3,135,7,4,333,9,3,204,11,4,489,13,4,391,17,4,412,5,4,402,3,5,589,15,35,3389,5,539,4,4,333,10,4,417,16,3,233,12,5,650,14,4,502,18,3,232,6,4,422,8,4,337,2,36,3665,7054,75.0173125541126,133.535317099567,0.4,1990,###,515.09186351706,###,0.381041666666667,0.834285714285714,0.18,0.509090909090909,0.605,0.27,0.43,0.5,0.88,0.62,0.34,0.85,0.07,0.26,28.7,38.7,48.7,34.2,44.2,54.2,39.7,49.7,59.7,45.2,55.2,65.2,50.8,60.8,70.8,56.3,66.3,76.3,61.8,71.8,81.8,56.3,66.3,76.3,50.8,60.8,70.8,45.2,55.2,65.2,39.7,49.7,59.7,34.2,44.2,54.2,0.231,0.264,0.297,0.33,0.363,0.396,0.429,0.396,0.363,0.33,0.297,0.264,5.7,7.7,12.7,5.7,7.7,12.7,5.7,7.7,12.7,5.7,7.7,12.7,5.7,7.7,12.7,5.7,7.7,12.7,5.7,7.7,12.7,5.7,7.7,12.7,5.7,7.7,12.7,5.7,7.7,12.7,5.7,7.7,12.7,5.7,7.7,12.7,58.4,68.4,78.4,58.4,68.4,78.4,58.4,68.4,78.4,58.4,68.4,78.4,58.4,68.4,78.4,58.4,68.4,78.4,58.4,68.4,78.4,58.4,68.4,78.4,58.4,68.4,78.4,58.4,68.4,78.4,58.4,68.4,78.4,58.4,68.4,78.4,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705
